21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/UniCNS-UTF32-H
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/B5-V
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/Adobe-CNS1-H-Host
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/HKgccs-B5-V
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/CNS2-H
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/UCS2-ETen-B5
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/Adobe-CNS1-4
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/UniCNS-UTF32-V
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/ETHK-B5-H
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/Adobe-CNS1-3
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/Adobe-CNS1-ETen-B5
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/Adobe-CNS1-H-CID
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/HKscs-B5-H
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/HKscs-B5-V
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/UniCNS-UCS2-V
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/B5pc-UCS2
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/HKm314-B5-V
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/B5pc-V
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/HKdlb-B5-V
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/ETen-B5-H
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/ETenms-B5-V
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/Adobe-CNS1-0
21 Oct 2018 14:58:39,446 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/HKdla-B5-V
